sweep_id,mae/x,mae/y,mae/z,mae/pitch,mae/roll,mae/yaw,drift/final_drift_rate,drift/avg_drift_rate,drift/max_drift,drift/sum_of_drift,drift/hausdorff,ddf/5pt-avg_global_displacement_error,ddf/5pt-max_global_displacement_error,ddf/5pt-avg_local_displacement_error,ddf/5pt-max_local_displacement_error,ddf/5pt-tusrec_final_score,ddf/5pt-relative_global_err_pct,inference_time,total_time
sweep_00011,13.013619975976958,8.319585090395405,18.683225179550146,5.797749246488979,5.439547527386213,5.403312279381131,40.09918803596425,36.61151075356913,58.846181788810064,10647.065335147197,58.846181788810064,25.901456832885742,60.699745178222656,0.328156977891922,1.083050012588501,0.6351461005652232,0.3579385280609131,0.7639389038085938,3.6532440185546875
sweep_00012,5.539575375665525,7.897183897478189,32.47889701570666,10.176430007657938,9.608306081307912,7.869582276716345,30.75826176112752,70.89537867157718,51.949442394486894,16924.36094291646,50.89572924927498,36.51102828979492,56.02045440673828,0.3081301748752594,1.2508761882781982,0.5509619663570671,0.7113780379295349,0.8833451271057129,4.050306081771851
sweep_00013,7.100845613436595,10.290505527587392,11.655867992460461,5.9201711076467465,11.633738315612034,10.153682932850488,23.854896930329026,15.572699820189948,41.730379547111035,10646.662531155263,40.65307507756428,22.738706588745117,49.35395431518555,0.2724876403808594,0.9613122940063477,0.62790951707311,0.2170371413230896,1.0339775085449219,6.546536922454834
sweep_00014,10.45922737779397,10.22480626166836,7.478262901768057,3.3951428249039055,12.456766954721358,6.238848937143398,23.46854134353635,16.639927685525723,39.0160257941093,7816.978437829511,38.860750279668935,22.662796020507812,42.955020904541016,0.2000262439250946,0.8481433987617493,0.6182831160851124,0.268667995929718,0.8317687511444092,4.098105430603027
sweep_00015,12.41091622753598,3.8863085622213815,18.52431127768543,17.42421914085829,6.531253778716069,5.291601620035603,23.21582829209488,30.557150726825817,44.44369686033165,15390.437443347244,44.12054716663677,28.233753204345703,53.6931037902832,0.2028261125087738,0.999397873878479,0.6356079712714723,0.3746594190597534,1.2199018001556396,6.2430126667022705
sweep_00016,2.919356199463748,4.9535351351680585,5.797532838177253,6.533119045375343,9.72035337986178,5.8235516489206836,24.202555593497905,14.71575604138014,24.33535024907848,4756.134154453526,20.93114656488066,16.72723960876465,29.961502075195312,0.2723366916179657,1.0486739873886108,0.5910063356636304,0.31517496705055237,0.9406499862670898,4.377552509307861
sweep_00017,4.925438282947619,3.7665295557299783,15.225530024043572,14.85326595197216,2.775481842685479,3.571360007753031,22.52422445150742,49.976111626272115,29.282913450816018,11290.120273518054,29.201274582271186,22.502199172973633,38.98377227783203,0.30987975001335144,0.9582465291023254,0.549699140767035,0.5311812162399292,1.130389928817749,5.209498643875122
sweep_00018,4.930304996752521,6.133043224351808,23.512849355960242,7.011478548914259,6.513904565511111,1.227237690166987,28.154484149855787,33.092910157099304,47.658516108502205,12512.861896399943,47.46613942921565,26.024097442626953,48.34492111206055,0.22489948570728302,0.8399446606636047,0.596972165511312,0.31123465299606323,0.8851125240325928,4.140719652175903
sweep_00019,5.11640257131815,4.694780256068028,31.709206076711908,4.924174526362613,6.5987884040932725,9.383417624040176,36.48588901966547,34.169458578589186,69.70195154903563,20618.27833391813,68.78834860502594,36.0853157043457,72.97818756103516,0.2892463803291321,1.1094650030136108,0.6224124396410895,0.41599640250205994,1.1089515686035156,5.031554937362671
sweep_00020,4.8718419907647315,3.2374741684283075,23.37753409826109,4.418507673750912,3.579226015376157,3.776732721014625,31.430743486021562,24.059785932258713,56.590397419176156,14236.164702621056,56.590397419176156,24.921438217163086,56.798248291015625,0.19784501194953918,0.611700713634491,0.6188972104082073,0.24930430948734283,2.428446054458618,6.237021207809448
