quantile,scale,fdr,gpe,lpe,tusrec_final_score
0.5,0.9,111.85042785822367,9.858201106389364,0.1772073283791542,0.623928827346184
0.5,1.0,157.44685896894202,13.396719773610434,0.19227886448303858,0.6273266854883178
0.6,0.0,108.12216117530244,39.10023053487142,0.39068826536337536,0.6312969149140059
0.6,0.1,105.96042000216254,35.05960782368978,0.3530295689900716,0.6367386600337007
0.6,0.2,102.74528387667873,30.932299931844074,0.31646090745925903,0.6426533922464776
0.6,0.3,96.68927840088391,26.721516291300457,0.2814279993375142,0.65066929358262
0.6,0.4,86.6327346761599,22.450881640116375,0.2486403708656629,0.6605168189297431
0.6,0.5,72.74111898100261,18.182641347249348,0.21923205256462097,0.6703235373688284
0.6,0.6,58.32818022910212,14.070289611816406,0.19503454864025116,0.6764098957855591
0.6,0.7,55.88768122215517,10.45355256398519,0.17854038625955582,0.6693718730672376
0.6,0.8,72.8516286424059,8.376310189565023,0.17215754836797714,0.6459246919013795
0.6,0.9,103.93102780589196,9.46105670928955,0.1767276550332705,0.6263117717007683
0.6,1.0,144.2315813650313,12.948367436726889,0.1911794270078341,0.6282936911074349
0.7,0.0,118.59552824793384,38.74231274922689,0.3773852338393529,0.6403497025563922
0.7,0.1,115.57732548025405,34.73368263244629,0.34210580090681714,0.6450788241342397
0.7,0.2,110.0948186804374,30.617793401082356,0.3078325341145198,0.6502898041598656
0.7,0.3,101.63008918898599,26.409674644470215,0.2749841958284378,0.6570679602351911
0.7,0.4,90.12067630662949,22.14575449625651,0.2442259540160497,0.6652446113694949
0.7,0.5,76.30363690896642,17.89981524149577,0.21661313126484552,0.6727600493758921
0.7,0.6,63.1968325885766,13.814409414927164,0.193837508559227,0.6755344520368524
0.7,0.7,58.461729649746104,10.191413323084513,0.17820517967144647,0.6671817679460177
0.7,0.8,69.60257474908973,8.114387114842733,0.17200719813505808,0.6416346443561834
0.7,0.9,93.97964249578861,9.210078477859497,0.1760916287700335,0.6284750253694945
0.7,1.0,127.01815686258124,12.583230972290039,0.18950229386488596,0.6322825828743395
0.8,0.0,164.70563726506484,37.96286646525065,0.3489518165588379,0.6515541813324051
0.8,0.1,149.93496948995968,34.02418295542399,0.31871529916922253,0.655546554650774
0.8,0.2,135.03614762004676,29.974061330159504,0.289289469520251,0.6599137933956541
0.8,0.3,119.59472527218715,25.84002908070882,0.2610318660736084,0.6653921079920876
0.8,0.4,103.42673016667048,21.659406661987305,0.23450002570947012,0.6717861666012569
0.8,0.5,86.85178624776272,17.501457532246906,0.21059497942527136,0.6770296860811696
0.8,0.6,71.41760903386968,13.499483585357666,0.19079682727654776,0.6769340343231253
0.8,0.7,62.14042680974021,9.947717984517416,0.17710496733585993,0.6607734143103539
0.8,0.8,67.52000974410949,7.98181947072347,0.17157948513825735,0.6333560752759559
0.8,0.9,85.02396100482177,9.098491271336874,0.1750014324982961,0.6295607066799743
